DateTime,Entries,UniqueIPs
1484843521,61866,68808
1484844122,61868,68810
1484844483,61880,68821
1484844962,61888,68829
1484845684,61845,68786
1484846522,61834,68775
1484847182,61835,68776
1484847602,61894,68835
1484847722,61895,68836
1484848321,61894,68835
1484848562,61892,68832
1484848942,61889,68829
1484849522,61890,68830
1484850122,61889,68829
1484850721,61922,68862
1484851443,61957,68898
1484851922,61975,68917
1484852162,61988,68930
1484852602,62010,68952
1484853121,62017,68960
1484853606,61939,68882
1484853722,61947,68890
1484854321,61956,68899
1484854922,61944,68887
1484855522,62017,68960
1484855763,62024,68967
1484856122,62026,68969
1484856142,62027,68970
1484856722,62048,68991
1484857321,62079,69022
1484857922,62085,69028
1484858521,62133,69076
1484859121,62154,69097
1484859372,62166,69109
1484859742,62184,69126
1484860322,62185,69127
1484860922,62213,69155
1484861284,62214,69156
1484861522,62229,69171
1484862121,62249,69191
1484862722,62245,69187
1484863206,62189,69131
1484863343,62186,69128
1484864522,62186,69128
1484865123,62231,69173
1484865722,62234,69176
1484866562,62237,69179
1484866922,62245,69187
1484867002,62242,69184
1484867522,62265,69207
1484868122,62281,69223
1484868964,62307,69249
1484869321,62318,69260
1484869926,62200,69141
1484870163,62203,69144
1484870542,62215,69156
1484871722,62216,69157
1484872322,62226,69167
1484872802,62318,69259
1484872923,62328,69269
1484873521,62331,69272
1484873762,62329,69270
1484874202,62332,69267
1484874722,62323,69258
1484875321,62321,69256
1484875922,62252,69186
1484876643,62309,69245
1484877122,62315,69252
1484877367,62317,69254
1484877802,62316,69253
1484878922,62325,69262
1484879581,62324,69261
1484880122,62323,69260
1484880483,62352,69289
1484880721,62395,69333
1484880962,62391,69329
1484881685,62347,69285
1484881921,62355,69293
1484882521,62364,69302
1484883122,62394,69331
1484883614,62343,69278
1484883722,62351,69286
1484884322,62451,69388
1484884562,62456,69393
1484885002,62458,69395
1484885524,62384,69321
1484886122,62387,69325
1484886722,62431,69369
1484886782,62430,69368
1484887321,62439,69377
1484887922,62452,69390
1484888163,62533,69471
1484888603,62529,69467
1484889122,62538,69476
1484889721,62537,69473
1484890321,62547,69483
1484890922,62548,69484
1484891287,62455,69391
1484891523,62460,69396
1484892004,62542,69478
1484892203,62550,69486
1484892722,62545,69480
1484893322,62548,69483
1484893924,62612,69547
1484893981,62612,69546
1484894521,62616,69550
1484895123,62506,69440
1484895363,62509,69443
1484895722,62510,69444
1484895804,62508,69442
1484896322,62516,69450
1484896922,62523,69457
1484897763,62563,69498
1484898122,62560,69495
1484898963,62571,69505
1484899343,62575,69509
1484899921,62582,69516
1484900521,62588,69522
1484901122,62559,69493
1484901181,62557,69491
1484901603,62594,69529
1484901721,62600,69535
1484902564,62593,69527
1484902922,62604,69538
1484902944,62601,69535
1484903763,62529,69462
1484904121,62544,69477
1484904722,62575,69508
1484905443,62665,69599
1484905922,62666,69600
1484906163,62660,69594
1484906522,62669,69603
1484906603,62663,69597
1484907122,62670,69604
1484907608,62639,69573
1484907722,62652,69586
1484908921,62664,69598
1484909284,62707,69641
1484909522,62740,69674
1484909762,62747,69681
1484910721,62771,69705
1484911321,62782,69716
1484911922,62784,69718
1484911981,62783,69717
1484912522,62785,69719
1484913365,62755,69689
1484913743,62731,69664
1484914322,62729,69662
1484914922,62740,69673
1484915581,62743,69676
1484916121,62771,69704
1484916722,62775,69708
1484917207,62817,69749
1484917403,62820,69752
1484917921,62830,69762
1484918522,62823,69755
1484919124,62856,69788
1484920322,62848,69780
1484920564,62854,69786
1484921045,62792,69724
1484921522,62798,69730
1484922121,62805,69737
1484922964,62838,69770
1484923322,62836,69767
1484924163,62825,69756
1484924543,62828,69759
1484925122,62832,69763
1484925721,62834,69765
1484926321,62841,69772
1484926381,62840,69771
1484926815,62838,69769
1484926922,62850,69781
1484927522,62853,69784
1484927762,62866,69797
1484928122,62860,69790
1484928203,62858,69788
1484928732,62867,69797
1484929322,62887,69817
1484930643,62918,69849
1484931127,62933,69864
1484931362,62930,69861
1484931722,62947,69878
1484931804,62944,69875
1484932321,62961,69891
1484932808,62893,69823
1484932921,62932,69862
1484933522,62951,69881
1484934122,62952,69882
1484934735,63034,69964
1484934962,63040,69970
1484935321,63051,69981
1484935403,63047,69976
1484935922,63042,69971
1484936643,62998,69927
1484937122,62995,69925
1484937181,62995,69925
1484937721,63026,69956
1484938322,63034,69963
1484938563,63091,70020
1484938922,63101,70030
1484939004,63100,70029
1484939522,63099,70028
1484940122,63111,70040
1484940482,63154,70084
1484940722,63164,70094
1484941321,63147,70077
1484941921,63153,70083
1484942163,63152,70082
1484942521,63153,70083
1484942603,63152,70082
1484943122,63158,70088
1484943722,63158,70088
1484944333,63148,70078
1484944921,63155,70085
1484945522,63142,70066
1484945762,63137,70061
1484946144,63137,70059
1484946722,63171,70093
1484947322,63200,70122
1484947921,63203,70125
1484947981,63202,70124
1484948407,63194,70115
1484948522,63194,70115
1484949122,63168,70089
1484949363,63169,70089
1484949722,63177,70097
1484949803,63175,70095
1484950321,63183,70102
1484950922,63193,70112
1484952245,63200,70118
1484952722,63212,70130
1484952963,63215,70133
1484953322,63218,70136
1484953343,63220,70138
1484953921,63253,70171
1484954405,63195,70113
1484954522,63197,70115
1484955121,63206,70124
1484955722,63216,70133
1484956323,63240,70157
1484956562,63222,70139
1484957003,63218,70136
1484957521,63224,70142
1484958245,63161,70079
1484958721,63165,70083
1484959322,63221,70140
1484960162,63291,70210
1484960605,63294,70213
1484961121,63310,70229
1484961723,63290,70209
1484962921,63298,70217
1484963521,63309,70228
1484964013,63257,70177
1484964143,63264,70184
1484964722,63277,70197
1484965322,63294,70214
1484965923,63334,70254
1484966521,63312,70232
1484967123,63313,70233
1484967363,63310,70230
1484967745,63324,70244
1484968322,63331,70251
1484968921,63332,70252
1484970018,63343,70263
1484970121,63341,70261
1484970722,63353,70272
1484970962,63353,70272
1484971403,63407,70326
1484972522,63404,70322
1484973122,63417,70335
1484973181,63416,70334
1484973843,63492,70410
1484974322,63489,70407
1484974562,63491,70409
1484975004,63491,70409
1484975765,63320,70238
1484976121,63328,70246
1484976722,63375,70293
1484977322,63409,70327
1484977683,63489,70407
1484977921,63456,70371
1484978162,63450,70363
1484978543,63451,70364
1484979122,63461,70374
1484979722,63471,70384
1484980322,63474,70388
1484980921,63472,70385
1484981524,63424,70337
1484981762,63410,70322
1484982204,63424,70332
1484983321,63450,70358
1484983922,63459,70367
1484984522,63467,70375
1484985122,63466,70374
1484985363,63498,70406
1484985744,63505,70413
1484986321,63482,70390
1484986922,63488,70396
1484987284,63450,70358
1484987522,63473,70381
1484987581,63471,70379
1484988121,63474,70382
1484988722,63492,70400
1484989206,63526,70434
1484989404,63526,70434
1484989921,63552,70461
1484990522,63572,70481
1484991122,63621,70530
1484991721,63634,70543
1484992322,63635,70544
1484992563,63611,70519
1484993285,63553,70461
1484993523,63544,70452
1484994122,63543,70451
1484994722,63542,70450
1484995202,63604,70512
1484995322,63611,70519
1484995921,63618,70525
1484996162,63618,70525
1484996544,63615,70521
1484997373,63573,70479
1484997722,63575,70481
1484998322,63560,70465
1484998921,63562,70467
1484999286,63613,70518
1484999522,63632,70538
1484999762,63637,70543
1485000205,63669,70573
1485001322,63678,70582
1485001921,63677,70581
1485002521,63692,70596
1485003123,63668,70572
1485003362,63669,70573
1485003804,63685,70589
1485004321,63689,70593
1485004922,63702,70606
1485005522,63682,70586
1485006122,63693,70597
1485006721,63707,70611
1485006963,63765,70669
1485007344,63770,70674
1485008522,63772,70676
1485008883,63725,70628
1485009122,63725,70628
1485009721,63728,70631
1485010322,63746,70649
