DateTime,AddedIPs,RemovedIPs
1487535856,22,32
1487536598,28,23
1487537307,26,22
1487538092,26,26
1487538748,30,38
1487539450,19,13
1487540206,21,38
1487540909,23,29
1487541718,33,23
1487542345,22,33
1487543062,19,28
1487543777,12,37
1487544508,29,26
1487545291,25,25
1487545960,25,28
1487546661,21,31
1487547398,23,25
1487548109,11,26
1487548891,36,26
1487549557,12,12
1487550258,17,28
1487550995,28,22
1487551706,18,27
1487552493,24,19
1487553143,25,29
1487553864,32,16
1487554583,22,18
1487555317,20,13
1487556106,20,27
1487556779,14,17
1487557448,24,22
1487558197,19,24
1487558898,23,24
1487559710,14,18
1487560337,11,17
1487561067,21,25
1487561789,25,19
1487562520,14,29
1487563294,17,22
1487563964,18,29
1487564651,18,20
1487565398,15,13
1487566105,24,19
1487566916,18,21
1487567538,18,31
1487568264,36,20
1487568985,19,34
1487569725,27,26
1487570494,20,33
1487571147,42,32
1487571865,33,27
1487572580,22,42
1487573569,38,27
1487574517,36,39
1487575219,28,20
1487575958,26,17
1487576652,11,19
1487577395,34,29
1487578098,34,25
1487578861,33,45
1487579830,36,43
1487580509,44,23
1487581303,42,23
1487581949,12,23
1487582659,36,37
1487583385,37,45
1487584096,33,19
1487584887,16,20
1487585562,14,16
1487586250,30,23
1487586989,29,23
1487587696,20,28
1487588520,25,30
1487589136,13,10
1487589866,25,24
1487590585,28,21
1487591309,28,26
1487592103,30,21
1487593025,22,18
1487593700,32,36
1487594453,18,20
1487595725,22,34
1487596351,22,12
1487597061,26,30
1487597777,16,17
1487598521,23,20
1487599288,28,17
1487599949,10,14
1487600661,28,25
1487601397,34,29
1487602117,23,19
1487602903,26,26
1487603544,29,33
1487604267,19,24
1487604976,21,11
1487605713,26,20
1487606492,29,27
1487607159,27,21
1487607855,37,27
1487608587,27,28
1487609295,31,31
1487610126,25,34
1487610752,20,19
1487611466,30,34
1487612183,32,38
1487612923,36,34
1487613689,35,26
1487614351,30,25
1487615053,15,20
1487615801,40,22
1487616509,33,24
1487617298,36,23
1487617941,33,28
1487618675,35,30
1487619384,17,21
1487620115,23,35
1487620896,29,27
1487621567,27,27
1487622250,35,36
1487623005,31,30
1487623710,27,37
1487624516,25,37
1487625143,35,29
1487625869,25,22
1487626582,29,41
1487627326,37,19
1487628089,26,32
1487628744,22,39
1487629470,26,25
1487630176,21,28
1487630909,25,24
1487631730,24,30
1487632342,21,25
1487633073,14,16
1487633779,30,39
1487634507,24,26
1487635286,29,26
1487635960,21,23
1487636653,26,30
1487637393,13,8
1487638103,19,17
1487638906,22,24
1487639539,23,30
1487640268,21,27
1487640978,20,23
1487641717,21,21
1487642485,20,20
1487643159,14,21
1487643855,21,15
1487644601,18,26
1487645295,17,23
1487646108,18,21
1487646761,12,20
1487647455,36,28
1487648186,20,20
1487648895,24,16
1487649697,19,18
1487650356,21,21
1487651069,12,19
1487651785,14,17
1487652517,14,35
1487653296,26,17
1487653951,25,25
1487654650,22,15
1487655392,19,22
1487656103,15,12
1487656906,27,24
1487657566,32,30
1487658253,26,30
1487658993,21,20
1487659703,21,28
1487660502,23,27
1487661146,10,19
1487661869,30,9
1487662578,25,20
1487663314,15,21
1487664087,36,23
1487664759,22,27
1487665450,31,18
1487666188,5,19
1487666938,38,22
1487667737,20,25
1487668347,29,25
1487669062,28,28
1487669777,16,14
1487670508,24,29
1487671291,23,27
1487671954,20,32
1487672652,28,19
1487673394,32,18
1487674102,37,20
1487674892,25,32
1487675551,16,13
1487676261,29,19
1487676999,22,28
1487677967,35,33
1487678695,16,16
1487679382,31,26
1487680118,26,20
1487680816,24,20
1487681546,27,26
1487682267,26,23
1487682991,28,27
1487683712,28,18
1487684416,10,16
1487685155,27,22
1487685872,21,23
1487686587,20,21
1487687312,21,36
1487688015,32,28
1487689396,35,45
1487690197,13,22
1487690948,24,24
1487691626,26,18
1487692332,26,28
1487693076,35,20
1487693775,13,9
1487694514,32,36
1487695250,29,31
1487695946,27,34
1487696668,30,32
1487697386,34,25
1487698114,29,16
1487698833,23,21
1487699557,26,28
1487700517,39,37
1487701234,42,21
1487701952,24,26
1487702654,29,32
1487703393,36,34
1487704106,31,37
1487704833,22,22
1487705547,25,33
1487706260,35,31
1487706990,8,29
1487707706,32,25
1487708460,28,35
1487709145,24,31
1487709865,38,24
1487710584,27,30
1487711325,27,42
1487712012,29,30
1487712759,28,35
1487713449,17,19
1487714200,32,24
1487714899,27,39
1487715632,34,22
1487716351,23,38
1487717061,27,36
1487717782,20,22
1487718510,26,29
1487719219,35,26
1487719958,16,14
1487720652,21,38
1487721398,30,30
1487722130,27,28
1487722820,24,25
1487723558,27,22
1487724255,16,29
1487724989,20,15
1487725705,21,29
1487726423,21,27
1487727135,24,35
1487727885,26,29
1487728594,36,24
1487729309,12,18
1487730050,30,22
1487730748,33,17
1487731463,21,32
1487732173,23,29
1487732912,22,22
1487733625,24,12
1487734352,28,24
1487735052,25,21
1487735793,23,31
1487736506,24,27
1487737237,24,15
1487737948,14,22
1487738663,19,25
1487739382,19,18
1487740099,25,30
1487740834,27,40
1487741548,18,28
1487742262,36,31
1487742985,45,23
1487743707,28,31
1487744423,14,19
1487745145,29,19
1487745866,19,25
1487746585,27,32
1487747332,16,21
1487748013,27,42
1487748749,33,53
1487749448,29,27
1487750200,14,21
1487750909,33,19
1487751658,31,20
1487752348,19,26
1487753073,30,27
1487753780,35,25
1487754497,41,27
1487755253,32,23
1487755950,22,9
1487756665,25,28
1487757397,29,25
1487758114,22,30
1487758835,21,22
1487759578,19,18
1487760264,26,16
1487760981,25,23
1487761700,20,27
1487762423,15,11
1487763139,27,27
1487764611,43,47
1487765305,12,17
1487766039,27,23
1487766747,30,21
1487767461,25,32
1487768185,24,22
1487768915,39,26
1487769623,30,22
1487770342,22,23
1487771060,16,38
1487771782,20,12
1487772496,28,32
1487773257,33,21
1487773949,24,29
1487774670,35,24
1487775387,24,16
1487776107,19,30
1487776835,29,32
1487777546,28,26
1487778269,42,27
1487778983,17,18
1487779715,31,28
1487780415,42,24
1487781149,34,32
1487781855,40,44
1487782591,23,22
1487783305,14,21
1487784034,34,22
1487784785,36,28
1487785466,20,25
1487786183,11,15
1487786906,27,32
1487787624,36,26
1487788344,32,29
1487789059,35,43
1487789787,20,13
1487790512,42,41
1487791234,34,32
1487791952,29,39
1487792663,20,14
1487793390,27,27
1487794123,22,35
1487794861,32,29
1487795550,29,32
1487796262,19,20
1487796984,34,31
1487797994,37,33
1487798686,19,35
1487799385,27,36
1487800119,18,19
1487800885,18,45
1487801558,21,37
1487802252,33,32
1487802989,22,26
1487803724,28,28
1487804500,40,24
1487805149,28,32
1487805850,23,28
1487806596,15,12
1487807310,28,22
1487808292,25,34
1487808988,24,36
1487809706,31,29
1487810424,35,28
1487811157,14,23
1487812120,26,33
1487812811,15,12
1487813562,24,22
1487814252,28,26
1487815014,19,28
1487815695,27,28
1487816451,32,27
1487817175,16,25
1487817869,25,21
1487818573,19,28
1487819306,14,13
1487820012,21,32
1487820754,22,38
1487821449,28,24
1487822197,30,25
1487822912,27,27
1487823639,21,26
1487824345,22,22
1487825368,22,36
1487826111,21,12
1487826765,24,37
1487827450,28,24
1487828192,24,17
1487828903,12,23
1487829706,32,22
1487830348,3,22
1487831055,39,22
1487831799,20,26
1487832513,21,12
1487833307,15,32
1487833948,35,28
1487834662,20,20
1487835376,23,32
1487836110,32,20
1487836894,37,30
1487837552,17,13
1487838263,23,22
1487838994,16,22
1487839694,27,22
1487840515,28,33
1487841179,18,23
1487841850,27,22
1487842586,24,22
1487843307,34,32
1487844137,19,25
1487845025,37,23
1487845702,33,31
1487846424,28,14
1487847134,17,27
1487847882,30,33
1487848576,32,28
1487849308,22,15
1487850022,34,24
1487850753,25,27
1487851464,31,37
1487852176,22,12
1487852910,29,13
1487853644,25,25
1487854352,30,31
1487855315,17,24
1487856020,31,25
1487856756,15,29
1487857458,37,16
1487858198,24,30
1487858895,17,16
1487859654,25,24
1487860348,35,23
1487861062,24,33
1487861784,16,21
1487862506,30,30
1487863251,38,35
1487863943,27,26
1487864662,20,20
1487865377,43,26
1487866107,27,33
1487866829,28,25
1487867538,19,15
1487868262,37,37
1487869000,37,32
1487869696,24,25
1487870425,42,38
1487871403,38,30
1487872104,38,37
1487872921,29,37
1487873542,22,20
1487874261,42,31
1487874984,33,37
1487875717,28,33
1487876490,24,20
1487877150,31,37
1487877848,20,27
1487878606,33,36
1487879294,35,39
1487880115,24,14
1487880744,36,35
1487881454,43,34
1487882188,21,24
1487883179,36,48
1487883867,19,24
1487884579,34,44
1487885314,23,22
1487886022,37,31
1487886754,28,41
1487887473,35,40
1487888183,24,29
1487888925,35,24
1487889617,31,38
1487890346,26,29
1487891321,35,32
1487892013,35,35
1487892757,31,24
1487893450,15,21
1487894190,23,26
1487894894,24,26
1487895640,26,23
1487896349,13,17
1487897076,18,27
1487897784,28,30
1487898526,20,26
1487899219,27,26
1487899958,7,18
1487900651,22,24
