DateTime,AddedIPs,RemovedIPs
1483794286,1,0
1483832812,1,0
1483867667,1,0
1483956413,1,0
1483964129,1,0
1483972020,1,0
1483991203,1,0
1484022170,1,0
1484041604,1,0
1484045461,1,0
1484053155,1,0
1484072627,1,0
1484076446,1,0
1484092185,1,0
1484096048,2,0
1484107491,0,618
1484111215,2,0
1484126674,1,0
1484130508,1,0
1484142055,1,0
1484149957,1,0
1484161463,2,0
1484165359,1,0
1484173386,1,0
1484177068,1,0
1484192454,1,0
1484196286,1,0
1484200114,1,0
1484203948,1,0
1484211689,2,0
1484215748,2,0
1484223409,2,0
1484234931,2,0
1484238772,1,0
1484242857,3,0
1484250522,1,0
1484258211,2,0
1484273575,3,0
1484285094,1,0
1484292766,2,0
1484296616,2,0
1484300437,1,0
1484304283,2,0
1484327563,4,0
1484342926,1,0
1484369807,3,0
1484377752,1,0
1484381828,1,0
1484385644,2,0
1484389486,1,0
1484401707,1,0
1484405548,2,0
1484413318,1,0
1484417081,1,0
1484420955,1,0
1484432445,12,0
1484436274,1,0
1484447800,1,0
1484455461,1,0
1484463165,1,0
1484470906,3,0
1484474937,1,0
1484478772,1,0
1484486450,1,0
1484490288,1,0
1484501800,1,0
1484521009,1,0
1484536622,1,0
1484544292,3,0
1484555787,1,0
1484559620,1,0
1484563480,2,0
1484567322,1,0
1484578910,1,0
1484586769,1,0
1484625383,1,0
1484633327,2,0
1484641263,2,0
1484645173,2,0
1484648905,1,0
1484652765,1,0
1484664280,1,0
1484668140,1,0
1484679688,1,0
1484687325,1,0
1484729576,1,0
1484733724,3,0
1484745163,1,0
1484768208,1,0
1484772037,1,0
1484818110,1,0
1484833470,1,0
1484848887,2,0
1484856512,2,0
1484875603,1,0
1484898518,1,0
1484906201,4,0
1484922050,1,0
1484937411,1,0
1484941255,2,0
1484945081,1,0
1484948912,1,0
1484952764,1,0
1484956598,1,0
1484964535,0,2
1484968627,2,2
1484972465,3,3
1484980122,2,0
1484983978,0,1
1484987814,1,3
1484991641,2,0
1484995470,3,3
1484999342,2,2
1485003172,0,1
1485007004,0,3
1485026464,1,0
1485049488,1,0
1485053315,1,0
1485057165,1,0
1485076363,0,1
1485080297,3,1
1485087877,2,0
1485099404,0,3
1485103247,2,2
1485107085,2,2
1485110923,1,0
1485114767,2,0
1485122528,3,0
