DateTime,Entries,UniqueIPs
1487055721,1427,1499
1487056322,1428,1500
1487056922,1430,1502
1487057522,1426,1498
1487058722,1425,1497
1487059922,1424,1498
1487061122,1433,1509
1487061722,1441,1518
1487062321,1441,1518
1487063522,1438,1515
1487064721,1441,1518
1487065322,1447,1524
1487065921,1449,1526
1487068321,1448,1525
1487068921,1451,1528
1487069522,1455,1532
1487070122,1456,1533
1487070722,1459,1536
1487071321,1460,1537
1487072521,1461,1538
1487076122,1463,1540
1487078521,1464,1541
1487080922,1464,1541
1487082121,1463,1540
1487083921,1465,1542
1487085721,1464,1541
1487087522,1485,1563
1487088122,1499,1577
1487088721,1510,1588
1487089322,1516,1594
1487089922,1519,1597
1487090522,1524,1602
1487091122,1528,1606
1487091721,1529,1607
1487092922,1534,1612
1487093521,1535,1612
1487094723,1548,1626
1487095322,1548,1626
1487097121,1547,1625
1487097722,1549,1627
1487098321,1552,1630
1487100121,1557,1635
1487101322,1558,1636
1487101921,1560,1638
1487103122,1562,1640
1487103722,1563,1641
1487104322,1567,1651
1487104921,1563,1649
1487105522,1563,1651
1487106123,1564,1652
1487106722,1572,1662
1487107922,1573,1664
1487108521,1574,1665
1487109722,1575,1668
1487110321,1574,1667
1487110922,1574,1668
1487112122,1579,1676
1487112721,1580,1681
1487113321,1582,1683
1487113922,1576,1681
1487115722,1569,1673
1487118122,1568,1672
1487118722,1567,1671
1487119321,1569,1673
1487119921,1574,1678
1487121121,1576,1681
1487121722,1575,1680
1487122322,1573,1678
1487123522,1576,1681
1487124121,1573,1678
1487124721,1573,1678
1487125322,1574,1679
1487125922,1575,1680
1487127122,1575,1680
1487127722,1576,1681
1487128322,1577,1682
1487128921,1577,1682
1487129521,1579,1683
1487130722,1574,1678
1487131321,1575,1679
1487132522,1573,1677
1487133153,1572,1676
1487134322,1573,1677
1487135521,1574,1678
1487136123,1572,1676
1487136722,1572,1675
1487137321,1573,1676
1487139122,1573,1676
1487139722,1572,1675
1487140922,1571,1674
1487141522,1571,1672
1487142122,1572,1673
1487142721,1573,1674
1487144522,1572,1673
1487145123,1573,1674
1487145721,1574,1675
1487146921,1576,1677
1487148122,1577,1678
1487149922,1579,1680
1487150522,1580,1681
1487151121,1581,1681
1487151722,1581,1681
1487152922,1582,1682
1487155322,1612,1712
1487156522,1610,1710
1487157722,1632,1732
1487158321,1644,1744
1487158922,1661,1761
1487160124,1664,1764
1487160721,1666,1766
1487161322,1669,1769
1487161921,1671,1771
1487162521,1674,1774
1487163121,1677,1777
1487164321,1680,1780
1487164921,1682,1782
1487166122,1683,1783
1487167322,1679,1779
1487167924,1685,1786
1487168522,1691,1792
1487169722,1697,1798
1487170322,1698,1799
1487170922,1700,1801
1487171522,1697,1798
1487172121,1699,1800
1487173922,1696,1797
1487174523,1694,1795
1487175122,1694,1795
1487175722,1692,1793
1487176321,1694,1795
1487176922,1694,1795
1487177522,1695,1796
1487178122,1692,1793
1487179322,1691,1792
1487179922,1690,1791
1487180522,1687,1788
1487181721,1686,1787
1487183521,1685,1786
1487184122,1684,1784
1487185922,1683,1783
1487186522,1684,1784
1487187122,1685,1785
1487187722,1686,1786
1487188921,1689,1789
1487189521,1689,1789
1487191322,1686,1786
1487192521,1688,1788
1487193121,1688,1788
1487193722,1691,1791
1487194322,1694,1794
1487194922,1697,1797
1487196122,1695,1795
1487197921,1695,1795
1487200922,1694,1794
1487203922,1696,1796
1487204522,1695,1796
1487206322,1696,1797
1487207521,1695,1796
1487208122,1696,1797
1487208721,1696,1797
1487209322,1694,1795
1487211721,1695,1796
1487212322,1690,1791
1487213521,1689,1790
1487215322,1688,1789
1487215924,1689,1791
1487216522,1690,1792
1487217121,1690,1793
1487217723,1691,1794
1487218922,1698,1801
1487220122,1699,1802
1487221322,1700,1803
1487222522,1701,1804
1487223121,1699,1802
1487223723,1700,1803
1487224922,1695,1798
1487225521,1693,1796
1487226721,1695,1798
1487227921,1693,1796
1487230921,1692,1795
1487232122,1693,1796
1487232721,1692,1795
1487233322,1691,1794
1487235121,1692,1795
1487235721,1694,1798
1487236321,1698,1803
1487238122,1699,1804
1487238722,1696,1801
1487241722,1697,1802
1487242321,1694,1799
1487244123,1696,1801
1487245922,1695,1800
1487248321,1696,1801
1487248922,1698,1803
1487249521,1699,1804
1487250722,1701,1806
1487254921,1700,1805
1487256121,1702,1807
1487257321,1701,1806
1487258522,1702,1808
1487259722,1701,1807
1487260321,1701,1807
1487260931,1702,1808
1487261522,1702,1808
1487262121,1705,1811
1487263322,1705,1811
1487263921,1706,1812
1487264521,1707,1813
1487268121,1709,1815
1487269922,1710,1816
1487270521,1713,1819
1487271121,1712,1818
1487273522,1711,1817
1487274122,1710,1816
1487274721,1715,1821
1487275322,1714,1820
1487277122,1712,1818
1487277723,1712,1818
1487278321,1711,1817
1487278922,1711,1818
1487280121,1711,1818
1487280723,1713,1820
1487281321,1714,1821
1487281921,1712,1821
1487284922,1711,1820
1487285522,1712,1821
1487286123,1711,1820
1487287322,1713,1822
1487290921,1712,1821
1487292721,1711,1820
1487293922,1712,1821
1487294523,1710,1819
1487295723,1711,1821
1487296922,1712,1822
1487297521,1713,1824
1487298722,1712,1823
1487300522,1713,1824
1487301722,1714,1825
1487302321,1715,1826
1487302922,1719,1830
1487303521,1721,1832
1487304122,1722,1833
1487306522,1723,1834
1487307722,1721,1832
1487308327,1719,1830
1487309522,1720,1831
1487310721,1721,1832
1487311922,1722,1833
1487312521,1721,1832
1487313723,1719,1830
1487314921,1720,1831
1487315521,1721,1832
1487316123,1722,1833
1487316721,1723,1834
1487317322,1725,1836
1487319121,1723,1834
1487319721,1724,1835
1487320921,1725,1836
1487321521,1722,1833
1487322122,1723,1834
1487324521,1724,1835
1487325721,1725,1836
1487326922,1761,1873
1487327522,1765,1877
1487328122,1769,1881
1487328721,1786,1898
1487329321,1793,1905
1487329921,1793,1906
1487330522,1798,1913
1487331721,1802,1919
1487332322,1807,1924
1487334121,1817,1934
1487335322,1819,1936
1487335921,1820,1937
1487336522,1821,1938
1487337121,1823,1940
1487337721,1829,1946
1487339522,1829,1949
1487341322,1828,1948
1487342521,1829,1949
1487343721,1833,1953
1487344322,1837,1958
1487345521,1840,1963
1487346122,1844,1967
1487347322,1842,1965
1487347922,1837,1960
1487348523,1841,1964
1487349122,1842,1965
1487349722,1841,1964
1487350321,1845,1968
1487350922,1849,1972
1487351521,1855,1978
1487352122,1855,1978
1487352722,1859,1983
1487353322,1857,1981
1487355121,1856,1980
1487356921,1852,1976
1487358122,1853,1977
1487359322,1855,1979
1487359922,1857,1981
1487360521,1861,1985
1487361721,1865,1989
1487362321,1865,1989
1487362922,1864,1988
1487363522,1865,1989
1487364122,1865,1989
1487364721,1867,1991
1487365322,1869,1993
1487365922,1870,1994
1487366524,1874,1998
1487368322,1875,1999
1487368922,1876,2000
1487369522,1876,2001
1487372521,1875,2000
1487374922,1873,1998
1487376122,1880,2005
1487376722,1881,2006
1487377322,1883,2008
1487377922,1880,2005
1487378522,1876,2001
1487379722,1876,1999
1487380921,1878,2001
1487381522,1884,2007
