DateTime,Entries,UniqueIPs
1487386574,1964,1964
1487387415,1962,1962
1487388516,1971,1971
1487389517,1966,1966
1487390320,1967,1967
1487391315,1970,1970
1487392114,1974,1974
1487392941,1966,1966
1487393913,1959,1959
1487395218,1962,1962
1487396121,1963,1963
1487397376,1967,1967
1487398218,1966,1966
1487399117,1978,1978
1487400020,1978,1978
1487401118,1975,1975
1487402055,1981,1981
1487402904,1991,1991
1487403916,1987,1987
1487404994,1989,1989
1487406027,2009,2009
1487406493,2012,2012
1487408326,2025,2025
1487409321,2041,2041
1487410223,2039,2039
1487410945,2044,2044
1487411919,2045,2045
1487412918,2048,2048
1487413694,2052,2052
1487414620,2047,2047
1487415515,2053,2053
1487416819,2059,2059
1487417629,2054,2054
1487418153,2061,2061
1487419019,2066,2066
1487419887,2063,2063
1487420894,2080,2080
1487421917,1912,1912
1487423126,1910,1910
1487424020,1922,1922
1487424914,1912,1912
1487425763,1918,1918
1487427889,1928,1928
1487429712,1920,1920
1487431228,1910,1910
1487432543,1901,1901
1487433511,1906,1906
1487434518,1917,1917
1487435294,1932,1932
1487436141,1898,1898
1487437120,1888,1888
1487438056,1899,1899
1487438889,1908,1908
1487439918,1899,1899
1487441415,1909,1909
1487442484,1916,1916
1487443520,1900,1900
1487444721,1902,1902
1487445255,1904,1904
1487446087,1915,1915
1487447663,1909,1909
1487448616,1913,1913
1487449685,1933,1933
1487450833,1926,1926
1487451763,1928,1928
1487452655,1936,1936
1487453558,1924,1924
1487454501,1926,1926
1487455300,1919,1919
1487456060,1927,1927
1487456881,1933,1933
1487457918,1931,1931
1487458837,1928,1928
1487459666,1931,1931
1487460481,1936,1936
1487461522,1926,1926
1487462176,1931,1931
1487463333,1924,1924
1487464704,1920,1920
1487465774,1920,1920
1487466619,1918,1918
1487467683,1926,1926
1487468542,1917,1917
1487469478,1921,1921
1487470424,1926,1926
1487471285,1928,1928
1487472105,1924,1924
1487473064,1924,1924
1487474123,1928,1928
1487475019,1924,1924
1487475921,1922,1922
1487476767,1915,1915
1487477717,1920,1920
1487478494,1921,1921
1487479340,1907,1907
1487480278,1915,1915
1487481319,1902,1902
1487482219,1896,1896
1487482941,1899,1899
1487483864,1903,1903
1487484920,1895,1895
1487485817,1893,1893
1487486725,1895,1895
1487487916,1888,1888
1487488820,1885,1885
1487489639,1871,1871
1487490147,1873,1873
1487491048,1881,1881
1487492054,1864,1864
1487492898,1869,1869
1487493923,1849,1849
1487495122,1841,1841
1487495653,1850,1850
1487496494,1852,1852
1487498277,1839,1839
1487499235,1832,1832
1487500060,1839,1839
1487500948,1832,1832
1487501832,1831,1831
1487502857,1822,1822
1487503668,1829,1829
1487504726,1814,1814
1487506220,1820,1820
1487507256,1832,1832
1487508147,1813,1813
1487508973,1824,1824
1487509821,1821,1821
1487510859,1833,1833
1487511753,1816,1816
1487512668,1827,1827
1487513717,1814,1814
1487514500,1824,1824
1487516113,1814,1814
1487517327,1821,1821
1487518821,1813,1813
1487519714,1824,1824
1487520591,1817,1817
1487521584,1828,1828
1487523667,1805,1805
1487524518,1818,1818
1487525426,1812,1812
1487526251,1819,1819
1487527045,1832,1832
1487528059,1833,1833
1487529025,1822,1822
1487529884,1830,1830
1487531060,1827,1827
1487532027,1835,1835
1487533226,1816,1816
1487534249,1832,1832
1487535321,1819,1819
1487536093,1826,1826
1487536945,1823,1823
1487537842,1825,1825
1487538924,1823,1823
1487539822,1804,1804
1487540727,1812,1812
1487541784,1807,1807
1487542764,1818,1818
1487543713,1807,1807
1487544146,1810,1810
1487545044,1807,1807
1487546126,1808,1808
1487547025,1799,1799
1487547750,1794,1794
1487548573,1793,1793
1487549416,1786,1786
1487550273,1789,1789
1487551516,1783,1783
1487553080,1783,1783
1487554036,1792,1792
1487554939,1779,1779
1487555833,1792,1792
1487556853,1793,1793
1487558058,1785,1785
1487559433,1791,1791
1487560522,1786,1786
1487561427,1775,1775
1487562317,1778,1778
1487563514,1781,1781
1487564831,1796,1796
1487565738,1789,1789
1487566624,1795,1795
1487567718,1786,1786
1487568589,1772,1772
1487569522,1775,1775
1487570716,1765,1765
1487571620,1765,1765
1487572818,1753,1753
1487573713,1756,1756
1487574616,1748,1748
1487575700,1751,1751
1487576723,1723,1723
1487577917,1695,1695
1487578822,1710,1710
1487579686,1681,1681
1487580140,1677,1677
1487581018,1683,1683
1487581826,1677,1677
1487582695,1697,1697
1487583627,1686,1686
1487584618,1692,1692
1487585423,1674,1674
1487586501,1681,1681
1487587523,1663,1663
1487588719,1643,1643
1487589621,1638,1638
1487590827,1613,1613
1487591817,1619,1619
1487592623,1608,1608
1487593697,1614,1614
1487594534,1604,1604
1487595434,1609,1609
1487596458,1603,1603
1487597430,1593,1593
1487598323,1592,1592
1487599180,1592,1592
1487600055,1595,1595
1487601019,1583,1583
1487601922,1586,1586
1487603724,1581,1581
1487604622,1580,1580
1487605347,1592,1592
1487606208,1603,1603
1487607017,1593,1593
1487607973,1605,1605
1487608937,1593,1593
1487609808,1602,1602
1487610624,1595,1595
1487611826,1586,1586
1487612722,1628,1628
1487613916,1688,1688
1487614455,1693,1693
1487616021,1728,1728
1487616915,1729,1729
1487617785,1734,1734
1487618805,1745,1745
1487619751,1741,1741
1487620601,1745,1745
1487621420,1732,1732
1487622404,1741,1741
1487623224,1726,1726
1487624208,1744,1744
1487625316,1749,1749
1487626545,1747,1747
1487627799,1749,1749
1487628620,1748,1748
1487628854,1750,1750
1487629819,1753,1753
1487630717,1757,1757
1487632820,1770,1770
1487633722,1758,1758
1487634991,1770,1770
1487635817,1762,1762
1487636893,1773,1773
1487637923,1776,1776
1487639118,1771,1771
1487640019,1784,1784
1487640917,1783,1783
1487641341,1785,1785
1487642190,1786,1786
1487643016,1776,1776
1487643913,1794,1794
1487644944,1787,1787
1487645787,1792,1792
1487646586,1789,1789
1487647592,1797,1797
1487648546,1795,1795
1487649385,1804,1804
1487650223,1800,1800
1487651300,1804,1804
1487652167,1797,1797
1487652983,1793,1793
1487654793,1795,1795
1487655619,1791,1791
1487656433,1804,1804
1487657417,1799,1799
1487658393,1804,1804
1487660192,1814,1814
1487661018,1807,1807
1487662102,1812,1812
1487662941,1804,1804
1487663779,1812,1812
1487664618,1798,1798
1487665480,1802,1802
1487666421,1811,1811
1487667387,1823,1823
1487668224,1821,1821
1487669311,1844,1844
1487670327,1840,1840
1487671263,1835,1835
1487672361,1853,1853
1487673235,1851,1851
1487674213,1864,1864
1487675119,1869,1869
1487676022,1878,1878
1487676915,1885,1885
1487677341,1884,1884
1487678174,1895,1895
1487678977,1891,1891
1487679985,1908,1908
1487681118,1908,1908
1487682065,1916,1916
1487683113,1932,1932
1487684629,1936,1936
1487685554,1927,1927
1487686690,1939,1939
1487688922,1949,1949
1487689814,1936,1936
1487690777,1948,1948
1487691628,1930,1930
1487692522,1939,1939
1487693375,1931,1931
1487694266,1943,1943
1487695623,1924,1924
1487697625,1925,1925
1487698965,1922,1922
1487699761,1933,1933
1487700623,1924,1924
1487700854,1923,1923
1487701822,1918,1918
1487702547,1921,1921
1487703358,1928,1928
1487704205,1925,1925
1487705059,1938,1938
1487706022,1927,1927
1487706922,1940,1940
1487707818,1944,1944
1487708894,1957,1957
1487709918,1947,1947
1487711656,1948,1948
1487712500,1955,1955
1487714081,1943,1943
1487715224,1944,1944
1487716391,1946,1946
1487716939,1954,1954
1487717754,1964,1964
1487718617,1958,1958
1487719553,1964,1964
1487720548,1963,1963
1487721347,1967,1967
1487722213,1956,1956
1487723044,1967,1967
1487724016,1955,1955
1487724960,1961,1961
1487725818,1957,1957
1487726893,1962,1962
1487727755,1945,1945
1487728546,1954,1954
1487729417,1955,1955
1487730493,1953,1953
1487731353,1938,1938
1487732164,1946,1946
1487733019,1943,1943
1487733951,1948,1948
1487734824,1939,1939
1487735743,1947,1947
1487736622,1948,1948
1487737702,1949,1949
1487738739,1944,1944
1487740084,1939,1939
1487741099,1945,1945
1487742025,1942,1942
1487742941,1951,1951
1487743821,1952,1952
1487744896,1950,1950
1487745942,1944,1944
1487747122,1941,1941
1487748029,1942,1942
1487748926,1937,1937
1487750955,1956,1956
1487751960,1966,1966
1487752823,1949,1949
1487753721,1959,1959
1487754623,1957,1957
1487755555,1965,1965
1487756416,1956,1956
1487757332,1967,1967
1487758224,1972,1972
1487759296,1981,1981
1487760320,1995,1995
1487760973,2001,2001
1487761818,2001,2001
1487762726,2015,2015
1487763766,2005,2005
1487764850,2002,2002
1487765722,2011,2011
1487766576,2008,2008
1487767420,2017,2017
1487768279,2024,2024
1487769317,2022,2022
1487770224,2014,2014
1487770956,2016,2016
1487772261,2009,2009
1487773223,2014,2014
1487773693,2028,2028
1487775689,2004,2004
1487777145,2014,2014
1487778026,1997,1997
1487778931,2007,2007
1487779819,1999,1999
1487780740,2007,2007
1487781742,1986,1986
1487783140,1987,1987
1487784502,1989,1989
1487785539,1971,1971
1487786729,1969,1969
1487787620,1980,1980
1487788504,1965,1965
1487789395,1972,1972
1487790925,1989,1989
1487791732,2004,2004
1487792746,2011,2011
1487793863,1999,1999
1487794454,1999,1999
1487796142,1983,1983
1487798057,1978,1978
1487799029,1963,1963
1487801142,1963,1963
1487802025,1977,1977
1487802987,1965,1965
1487804111,1968,1968
1487805321,1976,1976
1487806944,1966,1966
1487808332,1970,1970
1487809222,1984,1984
1487810114,1976,1976
1487811313,1980,1980
1487812518,1985,1985
1487813428,1967,1967
1487814166,1961,1961
1487816117,1958,1958
1487817022,1963,1963
1487817936,1968,1968
1487818573,1971,1971
1487819421,1956,1956
1487819654,1958,1958
1487820624,1955,1955
1487822102,1963,1963
1487823925,1971,1971
1487825700,1949,1949
1487826555,1945,1945
1487827529,1953,1953
1487828572,1960,1960
1487829951,1948,1948
1487830821,1951,1951
1487832330,1942,1942
1487832977,1950,1950
1487833841,1944,1944
1487834069,1945,1945
1487835072,1942,1942
1487835981,1942,1942
1487837229,1936,1936
1487838345,1944,1944
1487839231,1920,1920
1487840094,1926,1926
1487841046,1922,1922
1487841256,1923,1923
1487842378,1903,1903
1487843221,1906,1906
1487844341,1888,1888
1487845218,1899,1899
1487846123,1876,1876
1487848184,1875,1875
1487849128,1883,1883
1487850185,1864,1864
1487851015,1875,1875
1487851824,1859,1859
1487852730,1874,1874
1487853622,1864,1864
1487854488,1871,1871
1487856228,1863,1863
1487857577,1850,1850
1487858763,1834,1834
1487859717,1848,1848
1487860590,1840,1840
1487862056,1826,1826
1487863160,1834,1834
1487865373,1824,1824
1487866221,1817,1817
1487867117,1820,1820
1487868028,1812,1812
1487868836,1822,1822
1487869846,1817,1817
1487870793,1825,1825
1487871771,1820,1820
1487873091,1821,1821
1487873938,1827,1827
1487874513,1831,1831
1487876079,1824,1824
1487877496,1807,1807
1487878416,1790,1790
1487879248,1787,1787
1487880185,1787,1787
1487881034,1798,1798
1487882425,1786,1786
1487883274,1787,1787
1487884526,1782,1782
1487885713,1785,1785
1487886882,1791,1791
