DateTime,AddedIPs,RemovedIPs
1483837617,2,0
1483845314,1,0
1483852990,1,0
1483872547,1,0
1483891756,1,0
1483953548,1,0
1483961234,1,0
1483976853,1,0
1484000083,1,0
1484019545,1,0
1484042615,1,0
1484081246,2,0
1484085139,1,0
1484107961,0,411
1484119468,3,0
1484142517,1,0
1484146367,1,0
1484154079,3,0
1484161724,1,0
1484165814,1,0
1484169652,1,0
1484173392,2,0
1484177074,1,0
1484180925,2,0
1484192462,1,0
1484196293,1,0
1484200124,1,0
1484231091,1,0
1484242864,2,0
1484250530,2,0
1484262135,2,0
1484273583,2,0
1484288941,1,0
1484292775,2,0
1484308149,1,0
1484335244,1,0
1484401719,5,0
1484405566,1,0
1484409421,1,0
1484432456,3,0
1484447811,0,1
1484451654,0,16
1484470915,1,0
1484482602,2,0
1484509475,2,0
1484513328,1,1
1484536632,1,0
1484559629,1,0
1484575023,2,0
1484578922,1,0
1484586778,1,0
1484602377,1,0
1484617718,1,0
1484621565,1,0
1484641275,2,0
1484645182,1,0
1484656618,1,0
1484668149,1,0
1484679697,0,2
1484683498,1,0
1484687334,1,0
1484698870,2,0
1484741349,0,1
1484745173,1,0
1484768218,1,0
1484783571,1,0
1484787401,2,1
1484806601,1,0
1484814281,1,0
1484825823,1,0
1484833479,1,0
1484837328,1,0
1484848898,0,1
1484856523,0,1
1484871890,1,0
1484925893,1,0
1484945098,1,0
1484948928,1,0
1484952781,2,0
1484956617,1,0
1484960716,3,0
1484964556,1,0
1484987833,1,0
1484995491,0,1
1484999360,0,3
1485022374,1,0
1485030289,1,1
1485037981,1,0
1485041829,2,2
1485045665,0,6
1485049507,0,4
1485053333,0,13
1485057182,0,6
1485061024,0,7
1485064924,0,13
1485068706,0,10
1485072528,1,1
1485080313,1,0
1485087898,0,1
1485103265,0,1
1485107102,1,0
1485110941,2,1
1485114790,0,1
1485118620,0,1
1485122545,2,3
1485126300,0,1
1485137862,2,1
1485149323,1,2
1485164674,4,0
1485168528,2,0
1485172361,0,1
1485187739,3,0
1485203073,3,0
1485206924,0,1
